Title	Complement	POS_1	Definition_1
Եւնոմիոս	մեայ	np.	Eunomius.
Եւողոս	սիւ, ղեայ	np.	Aeolus.
Եւսդաքիոս	սիւ	np.	Eustace.
Եւսեբիոս	բի՝ սի	np.	Eusebius.
Եւտիքական	նի	np.	Eutychian.
Եւտիքէս	քեայ	np.	Eutychius.
Եւտրոպիոս	սիւ	np.	Eutropius.
Եւրիդիքէս	քեայ	np.	Eutichète.
Եւրիդիկէս	կեայ	np.	Eurydice.
Եւրիպիդէս	դեայ	np.	Euripides.
Եփեստոս		np.	cf. Հեփեստոս.
Եփրեմ	մի	np.	Ephraim.
Զապէլ	լայ	np.	Isabelle.
Զարեհ	հի	np.	Zareh.
Զարմայր	րայ	np.	Zarmaïr.
Զաւան	նայ	np.	Zavan.
Զաքարիա	այ	np.	Zechariah.
Զաքէոս	սիւ	np.	Zacchaeus, Zaccheus.
Զենոբ	բայ	np.	Zenobius.
Զենոն	նիւ	np.	Zeno.
Զեւս	սայ	np.	Zeus, Jupiter.
Զոյիլոս	սիւ, լեայ	np.	Zoilus.
Զրադաշտ	սիւ	np.	Zoroaster.
Զրուան	նայ	np.	Saturn.
Զօրաբաբէլ	լիւ	np.	Zerubbabel.
Թադէոս	սիւ	np.	Thaddeus.
Թաթուլ	թլոյ	np.	Tatul.
Թաղէս	ղեայ	np.	Thales.
Թարայ	յիւ	np.	Terah.
Թարշիշ	շշի, շշայ	np.	Tarsus; ակն Թարշշի, jacinth, precious stone of a flame colour.
Թարսիս	սսի, սսայ	np.	cf. Թարշիշ.
Թեկղի	ղեայ	np.	Thecla.
Թերեսիա	այ	np.	Teresa.
Թերսիտէս	տեայ	np.	Thersites.
Թեւտոնք	նից	np.	Teutons.
Թէոդոս	սիւ	np.	Theodosius.
Թէոդորոս	սիւ	np.	Théodore.
Թէոփիլէ	լեայ՝ լէի	np.	Theophilus.
Թեոփիղոս			<ab>np.</a> cf. Թէոփիլէ.
Թէփրաստոս	տեայ	np.	Theophrastus.
Թոնդրակեցի	ցւոյ	np.	Thondrageci.
Թոռնիկ	նկայ	np.	Thornig.
Թովմաս	այի՝ ասու	np.	Thomas.
Թորգոմ	մայ	np.	Togarmah.
Թուրք	քաց	np.	Turcs.
Իբրահիմ	մայ	np.	Ibrahim.
Իգնատիոս	սիւ	np.	Ignatius.
Ինաքոս	սիւ	np.	Inachus.
Իսահակ	կայ	np.	Isaac.
Իսիդորոս	սիւ	np.	Isidore.
Իսմայէլ	լիւ	np.	Ishmael.
Իսոկրատ	տայ	np.	Isocrates.
Իսրայէլ	լիւ	np.	cf. Իսրայէղ
Իսրայէղ	ղիւ	np.	Israël.
Իրենէոս	սիւ	np.	Irenaeus
Իրենէս	նեայ	np.	Irene.
Իրիս	րեայ	np.	Iris.
Իփիկրատ	տայ	np.	Iphicrates.
Լաբան	նայ	np.	Laban.
Լակտանտիոս	սիւ	np.	Lactantius.
Լանկթամուր	րայ	np.	Tamerlane.
Լապիթեայք	յց	np.	Lapiths.
Լաոքոնտ	տեայ	np.	Laocoön.
Լաւոմետոն	նայ	np.	Laomedon.
Լաւրենտիոս	սիւ	np.	Lawrence.
Լեւկիպպոս	սիւ	np.	Leucippus.
Լեւոնիդաս	սայ	np.	Leonidas.
Լեւոն	նիւ	np.	Leon.
Լէոն	նիւ	np.	cf. Լեւոն.
Լեոբոլտ	տայ	np.	Leopold.
Լիա	այ	np.	Leah.
Լիկիանոս	նեայ	np.	Licinius.
Լիկուրգոս	գեայ	np.	Lycurgus.
Լիվիոս	սիւ	np.	Livy.
Լիւսանդր	րիւ	np.	Lysander.
Լիւսիմաք	քեայ	np.	Lysimachus.
Լիւսիպպոս	սիւ	np.	Lysippos.
Լուդովիկոս	սիւ	np.	cf. Լուդովիկ.
Լուկրետիոս	սիւ	np.	Lucretius.
Լուտեր	րիւ	np.	Luther.
Լոք	քայ	np.	Locke.
Լոքման	նայ	np.	Lockman.
Խաչատուր	տրոյ	np.	Khachatur.
Խոսրով	ու, այ	np.	Khosrov.
Խոսրովիդուխտ	դխտոյ	np.	Khosrovidukht.
Խորենացի	ցւոյ	np.	of Khoren
Խորէն	նայ	np.	Khoren.
Կադմոս	մեայ	np.	Cadmus.
Կաղիմաքոս	քեայ	np.	Callimachus
Կալվին	վնոյ	np.	Calvin.
Կամբիւսէս	ւսեայ	np.	Cambyses.
Կամսար	րայ	np.	Camsarus.
Կայէն	նիւ	np.	Cain.
Կայիափայ	այ, այի	np.	Caiaphas.
Կայնան	նայ	np.	Kenan.
Կատարինէ	նեայ	np.	Katherine.
Կատիլինա	այ	np.	Catiline.
Կատոն	նիւ	np.	Caton.
Կարապետ	տիւ	np.	Garabed.
Կարդոս	սիւ	np.	Cardo.
Կարէն	նիւ	np.	Karen.
Կարոլոս	սիւ	np.	Charles.
Կեկրոպ	պայ	np.	Cecrops.
Կեսար	րու	np.	Caesar; Յուլիոս —, Julius —.
Կեսներ	րի	np.	Gessner.
Կերինտոս	տեայ	np.	Cerinthus.
Կիաքսար	րայ	np.	Cyaxares.
Կիկերոն	նիւ	np.	Cicero.
Կիկղոպայք	յց	s. np.	Cyclops.
Կերթուզեանք	նց	np.	Carthusians.
Կիմոն	նիւ	np.	Cimon.
Կիպրիանոս	սիւ	np.	Cyprian.
Կիրակոս	սիւ	np.	Cyriacus.
Կիւրեղէ	ղեայ	np.	Cybele.
Կիւրեղ	րղիւ	np.	Cyril.
Կիւրոս	սիւ	np.	Cyrus.
Կղարք	քայ	np.	Clarke.
Կղաւդոս	դեայ	np.	Claudius.
Կղէոպատրա	այ	np.	Cleopatra.
Կղեմէս	մայ	np.	Clement.
Կղէարքոս	քեայ	np.	Clearchus.
Կղէոբուղ	ղեայ	np.	Cleobulus.
Կղիմաքոս	քեայ	np.	Climacus.
Կղոդիոս	դեայ	np.	cf. Կղաւդոս.
Կոդրոս	սիւ	np.	Codrus.
Կոզմաս	այ, այիւ	np.	Cosmo, Cosmus.
Կոմիտաս	սայ	np.	Komitas.
Կոմնէնոս		np.	Komnenos.
Կոնոն	նիւ	np.	Conon.
Կոնփուկիոս	սի	np.	Confucius.
Կոռնակ	կայ	np.	Kornak.
Կոստանդ		np.	Constantius.
Կոստանդիանոս	սիւ	np.	Constantine.
Կոստանդին	դնիւ	np.	cf. Կոստանդիանոս.
Կոստանտոս	տեայ	np.	Constantius.
Կոստաս	սայ	np.	cf. Կոստանտոս.
Կորէ		np.	Proserpine.
Կորիողանոս	սիւ	np.	Coriolanus.
Կորիւն	նոյ	np.	Koriun.
Կորխ	խայ	np.	Core.
Կուինտիլիանոս	սիւ	np.	Quintilian.
Կուռնելիոս	լեայ	np.	Cornelius.
Կուրտիոս	սիւ	np.	Curtius.
Կտեսիաս	այ	np.	Ctesias.
Կրասոս	սիւ	np.	Crassus.
Կրատիպպոս	պեայ	np.	Cratippus.
Կրեսոս	սիւ	np.	Croesus.
Կրիսիպպոս	պպեայ	np.	Chrysippus.
Համազասպ	պայ	np.	Hamazasp.
Համամ	մայ	np.	Hamam.
Համան	նայ	np.	Haman, Aman.
Հայկ	ի, իւ, այ, աւ	s.	Hayk.
Հասան	նայ	np.	Hassan.
Հաւանակ	կայ	np.	Havanak.
Հեթում	թմոյ	np.	Hethum.
Հելլէնք	նաց	np.	Helen.
Հելվետիոս	սիւ	np.	Helvetius.
Հեկտոր	րիւ	np.	Hector.
Հեղինէ	նեայ	np.	cf. Հելլէնք.
Հեղիոդորոս	րայ	np.	Heliodorus.
Հենրիկոս	կեայ	np.	Henry.
Հերա	այ	np.	Hera.
Հերակլ	լիւ	np.	Heraclius.
Հերակլէս	լեայ	np.	Heracles.
Հերակղիդէս	դեայ	np.	Heracleidae.
Հերակղիտոս	տեայ	np.	Heraclitus.
Հերմէս	մեայ, մեսի	np.	Hermes.
Հերոնիմոս	նեայ, սի	np.	Jerome, Hieronymus.
Հերոդոտոս	տեայ	np.	Herodotus.
Հերովդէս	դէի, դի	np.	Herod.
Հերքիւղէս	լեայ	np.	cf. Հերակլէս.
Հիլարիոս	սիւ	np.	Hilarius
Հիմէն	նայ	np.	Hymen.
Հիպոկրատ	տայ	np.	Hippocrates.
Հիւպպողիտոս	տեայ	np.	Hippolyte.
Հիւրկանոս		np.	Hyrcanus.
Հողեփեռնէս	նեայ	np.	Holofernes.
Հոմեր	իւ	np.	Homer.
Հոմերոս	իւ	np.	cf. Հոմեր.
Հոմերոն	իւ	np.	cf. Հոմեր.
Հոնք	նաց	np.	Huns.
Հռաքէլ		np.	cf. Հռաքէղ.
Հռաքէղ	ի, այ	np.	Rachel.
Հռեգուղոս	ղեայ	np.	Regulus.
Հռեմոս	սիւ	np.	Remus.
Հռիփսիմէ	մեայ	np.	Hripsime.
Հռոմուլոս	լեայ	np.	Romulus.
Հռութ		np.	Ruth.
Հրէայ	րէիւ	np.	cf. Հրէայ.
Ձագ	գայ	np.	Zack.
Ղազար	րու	np.	Lazarus.
Ղազարոս	սիւ	np.	cf. Ղազար.
Ղամէք	քայ	np.	Lamech.
Ղեւի	ւեայ	np.	Levi.
Ղեւոնդ	դիւ	np.	Leo
Ղինոս	սայ	np.	Linus.
Ղոնգինոս	սիւ	np.	Longinus.
Ղովտ	տայ	np.	Loth, Lot.
Ղուկաս	սու, կայ	np.	Luke.
Ղուկուղղոս	ղեայ	np.	Lucullus.
Ղունկիանոս	սիւ	np.	Lucian.
Ճինկիզխան	նայ	np.	Genghis Khan.
Մաթուսաղայ	յիւ	np.	Methuselah.
Մակար	րայ	np.	Macarius.
Մակեդոն	նիւ	np.	Macedonius.
Մակեդոնեանք	նց	np.	Macedonian.
Մահմետականք	նաց	np.	Mohammedan.
Մահմէտ	տիւ	np.	Muhammad.
Մաղաքիա	այ	np.	Malachi.
Մաղթեղջիւր	ջեր	np.	Amalthea.
Մաղքոս	սիւ	np.	Malchus.
Մամբրէ	էիւ	np.	Mamre.
Մանասէ	էիւ	np.	Manasseh.
Մանաւազ	զայ	np.	Manawaz.
Մանի	նեայ	np.	Mani.
Մանիքեցիք	ցւոց	np.	Manicheans.
Մանուէլ	լիւ	np.	Emanuel.
Մանուշակ	կայ	np.	Manušak.
Մաշտոց	ցի	np.	Mashtots.
Մապիյլեօն	նիւ	np.	Mabillon.
Մասիյլեօն	նի	np.	Massillon.
Մասկարոն	նիւ	np.	Mascaron.
Մատաթիա	այ	np.	Matthias.
Մատաթիաս	այ	np.	cf. Մատաթիա.
Մատթէոս	սիւ, էիւ	np.	Matthew.
Մարգարիտ	տայ	np.	Margaret.
Մարթայ	յիւ	np.	Martha.
Մարիամ	մու, րեմու, րեմայ	np.	Mary.
Մարիբաս	բայ, սայ	np.	Maribas.
Մարկիովն	նիւ	np.	Marcion.
Մարկիովնացիք	ցւոց	np.	Marcionit.
Մարկոս	սիւ	np.	Mark.
Մարովդաք	քայ	np.	Merode.
Մարտիաղէս	ղեայ	np.	Martial.
Մարտիրոս	սիւ	np.	Martyr.
Մարք	րաց	np.	Mahdi.
Մաքսիմիանոս	սիւ	np.	Maximian.
Մաքսիմոս	սիւ	np.	Maximus.
Մեդացի	ցւոյ	np.	Medus.
Մեդուսա	այ	np.	Medusa.
Մեդք	դաց	np.	cf. Մարք.
Մելիտոս	սի	np.	Mellitus.
Մելպոմեն	նայ	np.	Melpomene.
Մելքիսեդեկ	կի	np.	Melchizedek.
Մեկենաս	սայ	np.	Maecenas.
Մենանդրոս	սիւ	np.	Menander.
Մենեղաւոս	սիւ	np.	Menelaus.
Մենտոր	րիւ	np.	Mentor.
Մեռկեռիոս	սիւ	np.	Mercury.
Մեսիայ	յիւ	np.	Messiah.
Մեսրոպ	պայ	np.	Mesrop.
Մետեղղոս	ղեայ	np.	Metellus.
Մետրոփանէս	նեայ	np.	Metrophanes.
Մերուժան	նայ	np.	Meruzhan
Միլետոս	սիւ	np.	Miletus.
Միղոն	նիւ	np.	Milo.
Միլտովն	նի	np.	Milton.
Միհրան	նայ	np.	Mihran.
Միհրդատ	տայ	np.	Mithridates.
Մինաս	սայ	np.	Minas.
Մինովս	սայ	np.	Minos.
Միքայէլ	լիւ	np.	Michael.
Միքիաս	այ	np.	Micah.
Մխիթար	րայ	np.	Mkhitar.
Մկրտիչ	տչի	np.	Baptist.
Մշակ	կայ	np.	Mshak.
Մոլիէռ	ռայ	np.	Molière.
Մողոլք	լաց	np.	Moloch.
Մոնֆոքոն	նիւ	np.	Montfaucon.
Մոսկովք	վաց	np.	cf. Ռուսք.
Մովաբ	բու	np.	Moab.
Մովաբացի		np.	Moabita.
Մովսէս	եսի, իսի, սիւ	np.	Moses; — Խորենացի, Moses Khorenatsi.
Մուկիոս Սկեվոլա	այ	np.	Mucius Scaevola.
Մուշեղ	ղայ	np.	Mushegh.
Մուստաֆայ	յիւ	np.	Mustafa.
Մուրատ	տայ	np.	Murad.
Մուրդքէ	էիւ	np.	Mordecai.
Մօրիկ	րկայ	np.	Maurice.
Յաբէթ	թիւ	np.	Japheth.
Յազկերտ	տիւ	np.	Yazdegerd.
Յակոբ	բայ (նահապետն)	np.	Jacob.
Յակոբ	բայ, բու (առաքեալն)	np.	Jake.
Յակոբոս	բայ, բու	np.	Jake.
Յակովբ	բայ, բու	np.	cf. Յակոբոս.
Յակովբոս		np.	cf. Յակովբ.
Յանոս	սիւ	np.	Janus.
Յանսենիոս	սիւ	np.	Jansen.
Յանսենեանք	նց	np.	Jansenite.
Յասոն	նիւ	np.	Jason.
Յարութիւն	նիւ	np.	Pascal.
Յեզաբէլ	լայ	np.	Jezebel.
Յէու	ւայ	np.	Jehu.
Յեսու	ւայ	np.	Joshua.
Յերոբովամ	մայ	np.	Jeroboam.
Յեփթայէ	յեայ	np.	Jephthah.
Յիսուս	ի, իւ	s. np.	Jésus.
Յոբ	բայ	np.	Job.
Յոբնաղ	ղիւ	np.	Juvenal.
Յոհաննէս	ննու	np.	cf. Յովհաննէս.
Յոհան Ոսկեբերան		np.	John Chrysostom
Յոհաննա	այ	np.	Joan.
Յոյն	նիւ	np.	Greek.
Յոնիա	այ	np.	Ionia.
Յովաբ	բայ	np.	Joab.
Յովնաթան	նայ	np.	Jonathan.
Յովակիմ	մայ	np.	Joachim.
Յովաս	սայ	np.	Jehoash.
Յովաքազ	զայ	np.	Jehoahaz.
Յովէլ	լայ	np.	Joel.
Յովիանոս	սիւ	np.	Jovian.
